i,Qual,tx,ty,o1x,o1y,o2x,o2y,o3x,o3y,px,py,pz,qx,qy,qz,qw
217,5,0.379067,-39.9036,10.6366,-36.9475,10.53,-37.1462,0.450686,-55.9303,18.4947,49.0466,48.7083,-0.00291529,0.995221,-0.097447,-0.00554907
218,8,0.203522,-39.9492,10.6366,-36.9475,10.53,-37.1462,0.450686,-55.9303,18.5109,49.0309,48.6413,-0.00233645,0.995221,-0.0974136,-0.00634008
219,0,-0.137463,-40.0835,10.6366,-36.9475,10.53,-37.1462,0.450686,-55.9303,18.4391,49.0404,48.7383,-0.00257779,0.995298,-0.0965227,-0.00764687
220,8,-0.137463,-40.0835,10.202,-36.7812,10.0949,-36.9792,-0.0134668,-55.6812,18.4391,49.0404,48.7383,-0.00257779,0.995298,-0.0965227,-0.00764687
221,5,-0.216275,-38.3713,9.67675,-37.1479,9.56676,-37.3467,-0.840879,-56.1582,18.4033,48.97,48.8077,-0.00328523,0.994609,-0.103339,-0.00797715
222,8,-0.801517,-39.57,9.67675,-37.1479,9.56676,-37.3467,-0.840879,-56.1582,18.3855,48.9931,48.7548,-0.00235067,0.995084,-0.098438,-0.0105602
223,5,-0.551035,-37.3508,9.103,-37.2978,8.99085,-37.4968,-1.62701,-56.3357,18.3695,48.8513,48.8082,-0.00449867,0.994183,-0.107138,-0.0100331
224,8,-0.316803,-36.6242,9.103,-37.2978,8.99085,-37.4968,-1.62701,-56.3357,18.3556,48.8762,48.9002,-0.00399252,0.993872,-0.11015,-0.00830705
225,0,-0.328826,-35.014,9.103,-37.2978,8.99085,-37.4968,-1.62701,-56.3357,18.344,48.6255,48.8933,-0.00664632,0.993201,-0.115829,-0.00950523
226,8,-0.328826,-35.014,8.46363,-36.6588,8.35256,-36.8557,-2.12469,-55.4292,18.344,48.6255,48.8933,-0.00664632,0.993201,-0.115829,-0.00950523
227,0,-0.0240946,-33.4734,8.46363,-36.6588,8.35256,-36.8557,-2.12469,-55.4292,18.3415,48.4928,49.0258,-0.00953805,0.992511,-0.121446,-0.00910158
228,5,0.373484,-32.1286,8.12344,-36.2169,8.01339,-36.4124,-2.34163,-54.8072,18.3487,48.4225,49.0483,-0.0113388,0.991804,-0.127027,-0.00775291
229,5,0.637728,-31.0618,7.51956,-34.9569,7.41343,-35.1485,-2.50346,-53.0514,18.3595,48.3529,49.0772,-0.0129836,0.991225,-0.131356,-0.00707977
230,8,0.77339,-30.6752,7.51956,-34.9569,7.41343,-35.1485,-2.50346,-53.0514,18.363,48.2818,49.0934,-0.0131391,0.991061,-0.132604,-0.00640396
231,0,1.29291,-28.5336,7.51956,-34.9569,7.41343,-35.1485,-2.50346,-53.0514,18.3885,48.1278,49.1598,-0.0164276,0.989825,-0.14125,-0.00505713
232,8,1.29291,-28.5336,6.61427,-32.5597,6.51646,-32.7437,-2.50745,-49.723,18.3885,48.1278,49.1598,-0.0164276,0.989825,-0.14125,-0.00505713
233,5,1.99673,-25.8402,6.15973,-30.2151,6.0715,-30.3917,-1.97381,-46.4885,18.4213,47.9424,49.1912,-0.0180026,0.98814,-0.152485,-0.00185548
234,8,1.8326,-25.3244,6.15973,-30.2151,6.0715,-30.3917,-1.97381,-46.4885,18.437,47.8602,49.1776,-0.0184617,0.987823,-0.154451,-0.00299588
235,0,2.7184,-23.0137,6.15973,-30.2151,6.0715,-30.3917,-1.97381,-46.4885,18.4736,47.6471,49.2413,-0.0195751,0.986315,-0.163698,0.00134644
236,8,2.7184,-23.0137,5.86464,-28.6036,5.7832,-28.7748,-1.58537,-44.2661,18.4736,47.6471,49.2413,-0.0195751,0.986315,-0.163698,0.00134644
237,0,1.89525,-21.0455,5.86464,-28.6036,5.7832,-28.7748,-1.58537,-44.2661,18.4707,47.5101,49.2538,-0.0181182,0.984886,-0.172243,-0.00212415
238,5,2.01155,-19.6195,5.87041,-27.0666,5.79637,-27.2327,-0.856584,-42.1605,18.4798,47.2932,49.3456,-0.0168986,0.984007,-0.177326,-0.000853039
239,8,2.53695,-21.8395,5.87041,-27.0666,5.79637,-27.2327,-0.856584,-42.1605,18.4856,47.4627,49.3209,-0.0184867,0.985644,-0.167819,0.000937628
240,5,1.71083,-19.0569,5.49522,-25.4882,5.42783,-25.6488,-0.583654,-39.9796,18.4812,47.239,49.3561,-0.0156314,0.983601,-0.179669,-0.00188944
241,8,2.13277,-18.3417,5.49522,-25.4882,5.42783,-25.6488,-0.583654,-39.9796,18.4853,47.1603,49.4019,-0.0156784,0.983099,-0.182403,0.000418093
242,5,1.52821,-16.3965,4.8296,-23.5102,4.77019,-23.6636,-0.48542,-37.2371,18.4773,46.9158,49.4097,-0.0137057,0.981638,-0.190251,-0.00176373
243,8,0.899145,-16.1041,4.8296,-23.5102,4.77019,-23.6636,-0.48542,-37.2371,18.4742,46.8826,49.4122,-0.0127735,0.9814,-0.191489,-0.0047162
244,0,0.92785,-14.3271,4.8296,-23.5102,4.77019,-23.6636,-0.48542,-37.2371,18.466,46.5735,49.4207,-0.011732,0.980107,-0.198085,-0.00394543
245,8,0.92785,-14.3271,3.92456,-21.7175,3.87167,-21.8641,-0.772905,-34.7369,18.466,46.5735,49.4207,-0.011732,0.980107,-0.198085,-0.00394543
246,0,0.346292,-11.2392,3.92456,-21.7175,3.87167,-21.8641,-0.772905,-34.7369,18.4488,46.3385,49.402,-0.0104625,0.977248,-0.21175,-0.00619693
247,5,0.0806019,-9.24894,3.02993,-20.004,2.9833,-20.1439,-1.08457,-32.3458,18.4352,46.0462,49.4569,-0.00856189,0.975576,-0.219395,-0.00670356
248,8,-0.257478,-9.49802,3.02993,-20.004,2.9833,-20.1439,-1.08457,-32.3458,18.4371,46.1467,49.531,-0.00868004,0.975744,-0.218576,-0.00854412
