id,quality,time,targetX,targetY,outputEvalX,outputEvalY,outputApplyX,outputApplyY,outputEvalNopolX,outputEvalNopolY,headX,headY,headZ,headi,headj,headk,headw,ellipseX,ellipseY
87,5,41323,-8.8608,-20.0949,-8.30914,-18.5952,-7.98144,-18.9669,-10.8137,-10.4835,18.6371,28.2253,66.7704,0.000473625,0.995753,0.0745262,-0.0540529,331.2,299.655
88,5,41374,-6.32894,-21.9078,-6.49164,-20.1362,-6.16544,-20.5642,-8.90191,-12.0766,18.6934,28.2476,66.8715,0.00127158,0.995647,0.0833458,-0.0416946,328.299,301.389
89,8,41374,-6.32894,-21.9078,-6.49164,-20.1362,-6.16544,-20.5642,-8.90191,-12.0766,18.6934,28.2476,66.8715,0.00127158,0.995647,0.0833458,-0.0416946,328.299,301.389
90,5,41457,-2.8499,-21.811,-3.12751,-21.5018,-2.83996,-21.9231,-5.33994,-13.5281,18.8009,28.3359,66.7504,0.000879303,0.996285,0.082328,-0.0252589,322.85,302.983
91,8,41457,-2.8499,-21.811,-3.12751,-21.5018,-2.83996,-21.9231,-5.33994,-13.5281,18.8009,28.3359,66.7504,0.000879303,0.996285,0.082328,-0.0252589,322.85,302.983
92,5,41539,-0.471053,-22.3998,0.331653,-22.1861,0.575223,-22.5407,-1.66603,-14.2958,18.8385,28.3309,66.7929,0.000260004,0.996263,0.0852646,-0.0137523,317.208,303.91
93,0,41573,1.98863,-22.9795,0.331653,-22.1861,0.575223,-22.5407,-1.66603,-14.2958,18.9293,28.3187,66.8955,-0.000359332,0.996101,0.0881892,-0.00224374,317.208,303.91
94,5,41607,2.76762,-22.773,3.06208,-22.4271,3.27645,-22.7033,1.23861,-14.6005,18.9672,28.3127,66.8961,-0.00134476,0.996185,0.0872479,0.00121869,312.766,304.319
95,0,41640,3.54785,-22.5654,3.06208,-22.4271,3.27645,-22.7033,1.23861,-14.6005,19.0063,28.3064,66.8967,-0.00233016,0.996255,0.0863055,0.00468109,312.766,304.319
96,5,41657,6.2347,-21.7465,5.11841,-22.2905,5.31244,-22.4832,3.43113,-14.5096,19.096,28.302,66.8333,-0.00137045,0.99645,0.0823185,0.017573,309.428,304.334
97,0,41723,8.82198,-20.9451,5.11841,-22.2905,5.31244,-22.4832,3.43113,-14.5096,19.1191,28.3008,66.817,-0.000410482,0.996463,0.0783164,0.0304617,309.428,304.334
98,5,41756,9.24785,-20.2513,9.23215,-20.9184,9.3916,-20.8752,7.83459,-13.2212,19.161,28.2587,66.9005,-0.00124566,0.996639,0.0752922,0.0322483,302.76,303.173
99,5,41823,11.4597,-19.6862,11.0416,-19.895,11.1921,-19.7316,9.77803,-12.2317,19.1832,28.271,66.7957,-0.000158806,0.99645,0.0722621,0.0431967,299.885,302.207
100,5,41823,11.9508,-18.973,11.0416,-19.895,11.1921,-19.7316,9.77803,-12.2317,19.2668,28.2147,66.8434,-0.000994026,0.996585,0.0692348,0.0449816,299.885,302.207
101,5,41874,14.2024,-18.3949,13.4759,-18.3243,13.6257,-18.0052,12.3957,-10.7051,19.3089,28.2127,66.754,9.29011e-05,0.996238,0.0661934,0.055923,296.011,300.781
102,8,41874,14.2024,-18.3949,13.4759,-18.3243,13.6257,-18.0052,12.3957,-10.7051,19.3089,28.2127,66.754,9.29011e-05,0.996238,0.0661934,0.055923,296.011,300.781
103,5,41940,15.608,-17.266,15.4685,-16.0718,15.6201,-15.6079,14.5536,-8.48207,19.322,28.2019,66.7429,0.000319417,0.996178,0.0606264,0.0628746,292.922,298.611
104,0,41957,17.0785,-16.0951,15.4685,-16.0718,15.6201,-15.6079,14.5536,-8.48207,19.373,28.1601,66.6999,0.000545908,0.996039,0.0550545,0.0698212,292.922,298.611
105,5,42008,17.4373,-13.7003,17.2239,-13.4084,17.3827,-12.8332,16.4653,-5.83979,19.3918,28.1119,66.7408,-0.000362745,0.996475,0.0436779,0.0716162,290.239,296.034
106,4,42040,17.8122,-11.273,18.1077,-11.3732,18.2692,-10.7537,17.4387,-3.81038,19.4218,28.035,66.806,-0.00127135,0.996779,0.0322954,0.0734016,288.928,294.057
107,5,42090,18.2442,-9.69734,18.6843,-10.034,18.8497,-9.3985,18.0739,-2.47477,19.4371,27.9814,66.8584,-0.00143741,0.996832,0.0248622,0.0755397,288.089,292.792
108,5,42140,18.5292,-7.44976,19.0708,-8.70235,19.2365,-8.0651,18.5065,-1.14256,19.441,27.9175,66.8513,-0.00178722,0.996926,0.014146,0.0770408,287.546,291.507
109,5,42140,18.9767,-5.7813,19.0708,-8.70235,19.2365,-8.0651,18.5065,-1.14256,19.4633,27.7983,66.9107,-0.00195304,0.996837,0.00671002,0.0791681,287.546,291.507
110,5,42207,18.9722,-5.90205,19.7381,-4.95914,19.8964,-4.37595,19.2761,2.61182,19.461,27.8795,66.9322,-0.00195304,0.996837,0.00671002,0.0791681,286.707,287.962
111,0,42224,19.2656,-3.60461,19.7381,-4.95914,19.8964,-4.37595,19.2761,2.61182,19.4639,27.7776,66.9052,-0.00230247,0.996731,-0.00400833,0.0806536,286.707,287.962
112,5,42273,18.5133,-2.37052,19.5957,-2.12211,19.7281,-1.6375,19.169,5.47203,19.4533,27.733,66.9441,-0.00353136,0.996972,-0.00974208,0.0770698,287.048,285.237
113,5,42339,19.0997,-0.733911,19.2092,0.0896612,19.3107,0.46754,18.792,7.70812,19.4562,27.734,66.8627,-0.000696591,0.996626,-0.0182397,0.0800228,287.744,283.122
114,5,42339,18.3438,0.558203,19.2092,0.0896612,19.3107,0.46754,18.792,7.70812,19.4383,27.6478,66.8592,-0.00192541,0.996785,-0.0239724,0.0764323,287.744,283.122
115,5,42391,17.0394,2.07368,18.3193,3.18641,18.3618,3.37435,17.8929,10.8468,19.408,27.6095,66.8961,-0.00358925,0.997036,-0.0311769,0.0702481,289.25,280.186
116,8,42390,18.9453,2.21587,18.3193,3.18641,18.3618,3.37435,17.8929,10.8468,19.4389,27.6355,66.767,0.00090943,0.996316,-0.0324672,0.0793755,289.25,280.186
117,5,42457,17.0873,5.40139,16.7464,5.5826,16.7074,5.59065,16.2551,13.2956,19.382,27.5292,66.844,-0.000410179,0.996369,-0.0475453,0.0706214,291.71,277.788
118,8,42456,16.3368,5.28264,16.7464,5.5826,16.7074,5.59065,16.2551,13.2956,19.3693,27.5347,66.758,-0.00241749,0.996649,-0.0468703,0.0669958,291.71,277.788
119,5,42523,15.2381,8.58382,15.0919,7.86978,14.9672,7.68562,14.5286,15.6364,19.3243,27.4213,66.9221,-0.00172966,0.996119,-0.0626088,0.0618457,294.301,275.581
120,8,42523,15.2381,8.58382,15.0919,7.86978,14.9672,7.68562,14.5286,15.6364,19.3243,27.4213,66.9221,-0.00172966,0.996119,-0.0626088,0.0618457,294.301,275.581
121,4,42590,14.875,11.1165,12.845,10.5701,12.6066,10.1342,12.1777,18.4067,19.2969,27.4314,66.6901,0.00314344,0.995325,-0.0757072,0.0598823,297.795,273.094
122,8,42590,14.875,11.1165,12.845,10.5701,12.6066,10.1342,12.1777,18.4067,19.2969,27.4314,66.6901,0.00314344,0.995325,-0.0757072,0.0598823,297.795,273.094
123,5,42689,10.923,11.6168,9.22235,12.7114,8.83489,12.063,8.3525,20.6453,19.2298,27.393,66.7329,0.00141941,0.996121,-0.077932,0.0408421,303.27,270.905
124,5,42689,8.73624,11.3892,9.22235,12.7114,8.83489,12.063,8.3525,20.6453,19.1418,27.3422,66.7881,-6.30144e-05,0.996605,-0.0764092,0.0306695,303.27,270.905
125,4,42740,6.90334,12.1646,7.1748,13.3705,6.71776,12.6583,6.18182,21.3555,19.0994,27.3185,66.816,-0.000305151,0.996547,-0.0801279,0.0217867,306.347,270.161
126,8,42740,6.90335,12.1646,7.1748,13.3705,6.71776,12.6583,6.18182,21.3555,19.0994,27.3185,66.816,-0.000305151,0.996547,-0.0801279,0.0217867,306.347,270.161
