Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Absolute intersection (x,y,z) ,Relative intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.39084,-1.31606,-2.02474,0.0898159,0.328292,0.940296,26.8862,24.2071,68.0661,0.000843812,0.998119,-0.061306,177.951,24.4309,32.1013,2,0.499273,-0.753288,0,1,6184
3.26434,-1.31909,-2.02433,-0.101939,0.323498,0.940722,22.6122,25.6259,68.3755,0.0437768,0.998985,-0.01061,199.669,24.4309,32.1013,2,0.499273,-0.753288,0,1,6250
3.1012,-1.49943,-2.02765,-0.349097,0.0503066,0.935735,21.5266,26.0743,68.701,0.0546001,0.998501,0.00390309,205.135,16.6289,20.8694,0,678.088,228.991,0,0,6300
2.95111,-1.50929,-2.10652,-0.576492,0.0354639,0.816333,20.3541,27.2135,69.3488,0.0736364,0.995894,0.0526657,210.797,26.4653,24.7958,0,1079.2,68.8811,0,0,6367
2.87275,-1.56435,-2.17209,-0.695135,-0.0476371,0.717299,19.987,28.7844,69.9191,0.09096,0.98769,0.127256,213.436,26.4653,24.7958,0,1079.2,68.8811,0,0,6433
2.85978,-1.62237,-2.1928,-0.71475,-0.135273,0.686174,20.2917,29.6449,70.7193,0.0923129,0.981366,0.16852,211.798,36.217,26.072,0,1476.85,16.8418,0,0,6500
2.87392,-1.68358,-2.19457,-0.693289,-0.227805,0.683707,20.4975,29.9789,70.7685,0.0908976,0.979297,0.180873,211.241,34.3741,21.714,0,1401.7,194.55,0,0,6550
2.88513,-1.7041,-2.19065,-0.676301,-0.258932,0.689617,20.7935,30.3713,71.1864,0.0883117,0.974843,0.20465,209.924,34.6177,23.1686,0,1411.63,135.235,0,0,6616
2.93907,-1.80592,-2.19063,-0.594532,-0.412815,0.690012,21.7336,31.2137,71.7122,0.0636676,0.961439,0.267547,205.006,34.7498,22.9391,0,1417.02,144.594,0,0,6683
2.98791,-1.87261,-2.196,-0.520503,-0.513631,0.6821,22.4336,31.5351,72.6307,0.0457051,0.955908,0.290087,200.847,35.2095,19.8104,0,1435.76,272.177,0,0,6750
3.02032,-1.90205,-2.19557,-0.471386,-0.558159,0.682828,22.9631,31.7053,72.6388,0.0348502,0.953162,0.300447,197.984,35.7398,18.6982,0,1457.39,317.53,0,0,6799
3.1217,-1.95487,-2.18341,-0.317667,-0.637514,0.7019,24.5935,31.9579,72.7982,0.00952747,0.948878,0.315501,188.688,37.5708,16.5402,0,1532.05,405.529,0,0,6867
3.21851,-1.9636,-2.15839,-0.170841,-0.650552,0.739997,25.6339,32.0165,72.4645,-0.000389227,0.949742,0.313034,182.952,34.3885,16.7292,0,1402.29,397.818,0,0,6934
3.32302,-1.94903,-2.13348,-0.0124997,-0.628474,0.77773,27.0067,32.0359,72.5076,-0.0179129,0.950439,0.310396,174.894,34.1964,19.213,0,1394.45,296.537,0,0,7000
3.46258,-1.95048,-2.15171,0.198884,-0.630565,0.750222,28.1684,31.9531,72.3981,-0.0283599,0.949778,0.311637,168.651,27.1806,18.3107,0,1108.36,333.332,0,0,7050
3.54936,-1.96878,-2.20043,0.33035,-0.658433,0.676266,29.6806,31.7447,72.2793,-0.0446174,0.95309,0.29938,160.794,27.8298,11.6621,0,1134.84,604.447,0,0,7117
3.66947,-1.91682,-2.22857,0.512278,-0.579208,0.634105,31.0404,31.3413,71.8683,-0.0566347,0.958566,0.279186,153.756,22.6905,12.79,0,925.268,558.452,0,0,7183
3.66947,-1.91682,-2.22857,0.512278,-0.579208,0.634105,31.0404,31.3413,71.8683,-0.0566347,0.958566,0.279186,153.756,22.6905,12.79,0,925.268,558.452,0,0,7250
3.66947,-1.91682,-2.22857,0.512278,-0.579208,0.634105,31.0404,31.3413,71.8683,-0.0566347,0.958566,0.279186,153.756,22.6905,12.79,0,925.268,558.452,0,0,7300
