Right Eye Position (x,y,z),Right Eye Forward Vector (x,y,z),Head Position (x,y,z),Head Rotation axis (x,y,z),Head Rotation angle ,Relative intersection (x,y,z) ,Absolute intersection (x,y,z) ,Interacted Object ID,timeStamp in ms
3.31896,-1.85145,-2.17728,0.0685175,-0.0581273,0.995955,27.2525,21.8824,70.0086,0.0287923,0.999455,0.0161346,167.379,1655.92,358.079,0,40.6084,17.7038,0,0,15932
3.31896,-1.85145,-2.17728,0.0685175,-0.0581273,0.995955,27.2525,21.8824,70.0086,0.0287923,0.999455,0.0161346,167.379,1655.92,358.079,0,40.6084,17.7038,0,0,15949
3.2873,-1.87902,-2.17805,0.020548,-0.0999035,0.994785,27.2945,21.8698,70.1375,0.0287984,0.99949,0.0137769,167.38,1798.24,510.074,0,44.0984,13.9764,0,0,15999
3.2873,-1.87902,-2.17805,0.020548,-0.0999035,0.994785,27.2945,21.8698,70.1375,0.0287984,0.99949,0.0137769,167.38,1798.24,510.074,0,44.0984,13.9764,0,0,16015
3.38277,-1.82174,-2.18374,0.165205,-0.013121,0.986172,27.2996,21.9337,69.8719,0.0301976,0.999494,0.0100139,166.715,1403.47,239.513,0,34.4174,20.6114,0,0,16067
3.38277,-1.82174,-2.18374,0.165205,-0.013121,0.986172,27.2996,21.9337,69.8719,0.0301976,0.999494,0.0100139,166.715,1403.47,239.513,0,34.4174,20.6114,0,0,16083
3.43787,-1.77415,-2.19653,0.248685,0.0589797,0.966787,27.2929,21.8792,70.0679,0.0289153,0.999502,0.0126273,167.25,1403.47,239.513,0,34.4174,20.6114,0,0,16133
3.43787,-1.77415,-2.19653,0.248685,0.0589797,0.966787,27.2929,21.8792,70.0679,0.0289153,0.999502,0.0126273,167.25,1403.47,239.513,0,34.4174,20.6114,0,0,16133
3.43787,-1.77415,-2.19653,0.248685,0.0589797,0.966787,27.2929,21.8792,70.0679,0.0289153,0.999502,0.0126273,167.25,1403.47,239.513,0,34.4174,20.6114,0,0,16183
3.43787,-1.77415,-2.19653,0.248685,0.0589797,0.966787,27.2929,21.8792,70.0679,0.0289153,0.999502,0.0126273,167.25,1403.47,239.513,0,34.4174,20.6114,0,0,16200
3.44361,-1.78536,-2.19745,0.25738,0.0419992,0.965397,27.3071,21.8647,70.1106,0.0287389,0.999464,0.0156769,166.307,1151.16,29.8611,0,28.2302,25.7527,0,0,16250
3.44361,-1.78536,-2.19745,0.25738,0.0419992,0.965397,27.3071,21.8647,70.1106,0.0287389,0.999464,0.0156769,166.307,1151.16,29.8611,0,28.2302,25.7527,0,0,16266
3.44361,-1.78536,-2.19745,0.25738,0.0419992,0.965397,27.3071,21.8647,70.1106,0.0287389,0.999464,0.0156769,166.307,1151.16,29.8611,0,28.2302,25.7527,0,0,16316
3.3052,-1.87149,-2.17795,0.0476727,-0.0885042,0.994934,27.3344,21.9116,70.0258,0.0279706,0.999567,0.00909526,167.194,1726.61,494.236,0,42.3419,14.3648,0,0,16333
3.3052,-1.87149,-2.17795,0.0476727,-0.0885042,0.994934,27.3344,21.9116,70.0258,0.0279706,0.999567,0.00909526,167.194,1726.61,494.236,0,42.3419,14.3648,0,0,16383
3.3052,-1.87149,-2.17795,0.0476727,-0.0885042,0.994934,27.3344,21.9116,70.0258,0.0279706,0.999567,0.00909526,167.194,1726.61,494.236,0,42.3419,14.3648,0,0,16383
3.28588,-1.87922,-2.17804,0.0184046,-0.100216,0.994796,27.3588,21.9294,70.1496,0.027365,0.999502,0.0157145,167.841,1784.78,495.62,0,43.7685,14.3308,0,0,16433
3.28588,-1.87922,-2.17804,0.0184046,-0.100216,0.994796,27.3588,21.9294,70.1496,0.027365,0.999502,0.0157145,167.841,1784.78,495.62,0,43.7685,14.3308,0,0,16449
3.2854,-1.87905,-2.17802,0.0176687,-0.0999488,0.994836,27.3538,21.9733,70.0453,0.029882,0.999413,0.0167644,167.228,1816.45,490.115,0,44.5451,14.4659,0,0,16499
3.2854,-1.87905,-2.17802,0.0176687,-0.0999488,0.994836,27.3538,21.9733,70.0453,0.029882,0.999413,0.0167644,167.228,1816.45,490.115,0,44.5451,14.4659,0,0,16516
3.28842,-1.87473,-2.17766,0.0222405,-0.0934136,0.995379,27.2907,22.0259,70.1819,0.0287007,0.999511,0.0123791,168.012,1761.37,490.018,0,43.1943,14.4682,0,0,16566
3.28757,-1.8753,-2.17769,0.0209511,-0.0942719,0.995326,27.2374,22.062,70.1269,0.0295291,0.999274,0.0240938,167.56,1787.21,424.724,0,43.8281,16.0694,0,0,16583
3.29252,-1.84169,-2.1755,0.0284633,-0.0433498,0.998654,27.17,22.0497,70.203,0.0290311,0.999411,0.0183003,168.588,1717.75,299.627,0,42.1247,19.1372,0,0,16633
